"","idstatefrom","idaction","idstateto","reward","step","episode"
"245",8,0,21,935.999999999995,244,0
"246",21,3,18,-320.999999999996,245,0
"247",18,1,16,-124,246,0
"248",16,1,6,-56.0000000000001,247,0
"249",6,0,12,963.999999999998,248,0
"250",12,1,12,55.9999999999986,249,0
"251",12,1,9,55.9999999999987,250,0
"252",9,1,6,118.999999999999,251,0
"253",6,0,11,963.999999999998,252,0
"254",11,1,5,78.9999999999989,253,0
"255",5,0,14,974.999999999957,254,0
"256",14,1,21,4,255,0
"257",21,3,16,-320.999999999995,256,0
"258",16,1,6,-56.0000000000001,257,0
"259",6,0,16,963.999999999998,258,0
"260",16,1,6,-56.0000000000001,259,0
"261",6,0,14,963.999999999998,260,0
"262",14,1,6,4,261,0
"263",6,0,21,963.999999999998,262,0
"264",21,3,13,-320.999999999994,263,0
"265",13,1,14,31.0000000000001,264,0
"266",14,1,7,4,265,0
"267",7,0,22,950.999999999997,266,0
"268",22,4,14,-403.999999999982,267,0
"269",14,1,7,4,268,0
"270",7,0,12,950.999999999996,269,0
"271",12,1,6,55.9999999999991,270,0
"272",6,0,13,963.999999999998,271,0
"273",13,1,8,30.9999999999997,272,0
"274",8,0,18,935.999999999976,273,0
"275",18,1,18,-124,274,0
"276",18,1,16,-124,275,0
"277",16,1,22,-56.0000000000004,276,0
"278",22,4,14,-403.999999999982,277,0
"279",14,1,10,4,278,0
"280",10,1,6,99.9999999999967,279,0
"281",6,0,14,963.999999999998,280,0
"282",14,1,8,4,281,0
"283",8,0,14,935.999999999995,282,0
"284",14,1,11,4,283,0
"285",11,1,16,78.9999999999995,284,0
"286",16,1,15,-55.9999999999993,285,0
"287",15,1,10,-24.9999999999992,286,0
"288",10,1,9,99.9999999999968,287,0
"289",9,1,13,118.999999999997,288,0
"290",13,1,3,31,289,0
"291",3,0,10,991.000000000022,290,0
"292",10,1,6,99.9999999999967,291,0
"293",6,0,10,963.999999999997,292,0
"294",10,1,17,100,293,0
"295",17,2,14,-129,294,0
"296",14,1,9,4,295,0
"297",9,1,9,118.999999999999,296,0
"298",9,1,14,118.999999999998,297,0
"299",14,1,9,4,298,0
"300",9,1,11,118.999999999998,299,0
